jid,statecode,year_end,variable,value
698,MI,2016,children_native_parents,1867000
699,MN,2016,children_native_parents,1028000
700,MO,2016,children_native_parents,1246000
701,MS,2016,children_native_parents,677000
702,MT,2016,children_native_parents,214000
703,NC,2016,children_native_parents,1818000
704,ND,2016,children_native_parents,157000
705,NE,2016,children_native_parents,393000
706,NH,2016,children_native_parents,230000
707,NJ,2016,children_native_parents,1207000
708,NM,2016,children_native_parents,374000
709,NV,2016,children_native_parents,403000
710,NY,2016,children_native_parents,2557000
711,OH,2016,children_native_parents,2369000
712,OK,2016,children_native_parents,810000
713,OR,2016,children_native_parents,654000
714,PA,2016,children_native_parents,2293000
715,RI,2016,children_native_parents,151000
716,SC,2016,children_native_parents,956000
717,SD,2016,children_native_parents,193000
718,TN,2016,children_native_parents,1289000
719,TX,2016,children_native_parents,4635000
720,US,2016,children_native_parents,53545000
721,UT,2016,children_native_parents,754000
722,VA,2016,children_native_parents,1407000
723,VT,2016,children_native_parents,109000
724,WA,2016,children_native_parents,1126000
725,WI,2016,children_native_parents,1119000
726,WV,2016,children_native_parents,359000
727,WY,2016,children_native_parents,126000
728,AK,2017,children_native_parents,156000
729,AL,2017,children_native_parents,976000
730,AR,2017,children_native_parents,612000
731,AZ,2017,children_native_parents,1120000
732,CA,2017,children_native_parents,4510000
733,CO,2017,children_native_parents,949000
734,CT,2017,children_native_parents,536000
735,DC,2017,children_native_parents,90000
736,DE,2017,children_native_parents,156000
737,FL,2017,children_native_parents,2672000
738,GA,2017,children_native_parents,1934000
739,HI,2017,children_native_parents,205000
740,IA,2017,children_native_parents,638000
741,ID,2017,children_native_parents,378000
742,IL,2017,children_native_parents,2087000
743,IN,2017,children_native_parents,1359000
744,KS,2017,children_native_parents,588000
745,KY,2017,children_native_parents,904000
746,LA,2017,children_native_parents,1006000
747,MA,2017,children_native_parents,951000
748,MD,2017,children_native_parents,940000
749,ME,2017,children_native_parents,230000
750,MI,2017,children_native_parents,1844000
